行,取引先名,法人番号,採用値_億円,金額の出所,余裕率,G列,I列
848,サンヨーホームズ株式会社,3120001039510,389.19,G列,29.7,389.19億円（2026年3月期・単体）,"○ 妥当：上場親会社（1420）。38,919,456千円＝389.19億円の桁検算OK（2026年3月期・単体）。一方、報道では同期の連結売上高505億200万円（前期比10.9%増）とされ、親会社のため連結でも基準クリア。単体・連結いずれでも300億超で判定は動かないが、G列は単体値である旨を維持すること。"
3457,株式会社アイネット,7020001030145,389.87,G列,30.0,389.87億円（2025年3月期・連結）,"○ 妥当：株式会社アイネット（東証9600）は上場親会社のため連結値可（§3-3）。G列の2025年3月期連結389.87億円に加え、自社IRの2026年3月期第3四半期決算短信（2026年1月30日）で連結累計売上高30,796百万円＝307.96億円（前年同期比7.4%増）を確認。3四半期だけで既に300億超のため通期はさらに上振れし、基準を安定的に充足。より新しい2026年3月期通期値へのG"
958,株式会社ヤマウラ,6100001021418,390.04,G列,30.0,390.04億円（2026年3月期・単体）,"○ 妥当：(株)ヤマウラは東証上場の親会社。採用値39,004,120千円=390.0412億円で桁検算一致(千円単位の読み違いなし)。親会社が単体で300億以上のため§3-3を充足。出典はgBizINFO(EDINET有価証券報告書)で公的機関ソース(§5-3-3/§5-3-7)。法人番号6100001021418で照合済み。なお検索では同社2026年3月期決算短信・通期決算説明資料の存在は確認"
1407,大英産業株式会社,4290801010181,390.93,I列(訂正),30.3,390.9312億円（2025年9月期・単体）,○ 妥当（G列訂正：単体→連結）：福証（2974）上場の独立系親会社のため§3-3によりグループ連結値で可。出典の2025年9月期決算短信は〔日本基準〕（連結）であり、連結売上高390.93億円（前期比5.4%増）・営業利益13.05億円（同44.9%増）を再現確認。よってG列の「（2025年9月期・単体）」は表記誤りで、正しくは「390.93億円（2025年9月期・連結）」。単体値は未確認（親会
496,株式会社ヤヨイサンフーズ,4110001023241,391.0,G列,30.3,391億円（2025年度・単体）,"○ 妥当（薄い／§6-7 親会社の商号変更あり）：株式会社。年商391億円（2025年3月期）・従業員1,680名（2025年3月末）を確認しG列と一致。マルハニチロの子会社だが単体391億円で300億超のため§3-3を満たす。ただし超過幅は約30%＝450億未満で余裕が薄い。重要：親会社マルハニチロが2026年4月1日付で『Umios株式会社（ウミオス）』へ商号変更しており、検索上も同社は『Um"
1355,双日テックイノベーション株式会社,4010001053447,391.15,G列,30.4,391.15億円（2026年3月期・単体）,"○ 妥当：39,115百万円＝391.15億円で桁検算OK（§6-1）。2026年3月期の個別（単体）売上高39,115百万円を自社HP会社概要で再現。双日の子会社だが単体391.15億円で300億超のため§3-3適合。ただし採用値が450億円未満で基準の約1.3倍と薄い。※社名変更あり（§6-7）：旧社名「日商エレクトロニクス株式会社」→2023年4月1日に「双日テックイノベーション株式会社」へ"
831,コイト電工株式会社,6080101015719,391.59,G列,30.5,391.59億円（2026年3月期・単体）,"○ 妥当（構造確認・出典補強）：反証を試みたが覆らず。小糸製作所（7276）の完全子会社である点を再確認（旧持株会社KIホールディングス〔6747〕は2020/4/1に小糸製作所へ吸収合併され解散、以後コイト電工は直接の完全子会社）。子会社基準は単体300億以上で、2026年3月期の売上高391億5,963万円＝391.59億円は独立検索でも同額が再現でき、グループ連結値の誤用ではない。ただし20"
2722,藤田金屬株式会社,2110001004821,392.0,G列,30.7,392億円（2025年3月期・単体）,"○ 妥当（反証試行の結果、追認）。金額シード検索で392億円が単独の丸め値ではなく損益計算書の整合的な数表として再現：売上高392億200万円／営業利益9億300万円／経常利益9億9,700万円／純利益6億800万円。自社HP会社概要 https://www.fujita-kz.com/company/outline.html および採用サイト『数字で見る藤田金屬』https://www.fuji"
384,東海エレクトロニクス株式会社,4180001038563,393.0,G列,31.0,393億円（2026年3月期・連結）,"○ 妥当：2026年3月期決算短信（2026/4/28開示）で連結売上高393億6,200万円（前期比▲30.9%）を確認し、G列393億円（2026年3月期・連結）と整合。名証上場（8071）の親会社で連結値の採用は適正。ただし前期約570億円からの30.9%減収であり、第3四半期累計は299億9,500万円と300億円に肉薄していた。450億円を下回る薄いマージンで、減収トレンドが続けば次期（"
3373,株式会社サガミホールディングス,1180001000443,393.0,G列,31.0,393億円（2026年3月期・連結）,"○ 妥当：2026年3月期決算短信（連結・2026年5月14日開示）で売上高39,359百万円＝393.59億円を確認。G列393億円は正しい。持株会社へのアプローチのため連結値採用でルール適合（§3-3）。ただし300億超の余裕は約93億と薄いため、次期開示時に再点検推奨。"
1366,北陸コカ・コーラボトリング株式会社,8230001010901,393.45,G列,31.1,393.45億円（2025年・単体）,"○ 妥当：自社HP会社概要（page_id=245）記載の2025年売上高393億4,500万円（前年比+0.81%）を再現。単体値でありグループ値の混入なし。300億は充足するが超過幅は+93億で薄い。G列の決算期表記が「2025年」で期末月が不明のため、期の明示（第65期・○月期）を推奨。"
304,ダイハツ千葉販売株式会社,1040001004788,393.66,G列,31.2,393.66億円（2025年度）,"○ 妥当（本検証で確証）：自社ドメイン限定検索で会社概要ページの売上高393億6,640万円（2025年度）・年間登録届出台数21,291台を再取得し、G列393.66億円と完全一致。株式会社・単体で300億超。※300億に対する余裕は約1.31倍と薄く、減収時は条件割れの可能性あり要監視。※正しいURLは大文字表記の https://www.daihatsu-chiba.co.jp/Compan"
1811,岐阜トヨタ自動車株式会社,8200001001416,394.49,G列,31.5,"394億4,900万円（2025年3月期・単体）","○ 妥当：自社HP会社情報で「売上高394億4,900万円（令和7年3月期＝2025年3月期）」を再現確認。所在地岐阜市金園町9-28・資本金3,000万円・従業員506名（令和7年3月現在）が法人番号8200001001416（岐阜）と整合。本パスで2026年3月期の有無を確認したが承認ソース上の最新公表は令和7年3月期で、2025年3月期は直近3期内のため採用可。トヨタ系販売店だが単体394."
3512,株式会社ニッコー,8040001072911,395.0,G列,31.7,395億円（2026年3月期・単体）,○ 妥当：自社会社概要・沿革ページで年商395億円（2026年3月期）、資本金4.2億円、従業員338名（2026年4月1日）、伊藤忠丸紅鉄鋼100%出資を確認。子会社だが対象法人自身の年商が300億超のため§3-3適合。株式会社・直近期。300億超の余裕は約95億で、鋼管市況次第では割り込みうる水準のため次期は要再確認。
224,グローバルピッグファーム株式会社,8070001018234,396.0,G列,32.0,396.00億円（2024年度実績）,"○ 妥当：自社HP会社情報(gpf.co.jp/co-about.html)で2024年度実績の売上高396億円、従業員194名（2025年2月時点）、群馬県渋川市北橘町上箱田800、設立1983年6月、資本金1億7,920万円を確認。法人番号8070001018234もgBizINFOで一致。養豚農家出資による独立系で支配的親会社は確認されず、H列の「親会社なし」注記と矛盾しない。留意点は(1)"
1967,コスモエンジニアリング株式会社,2010701003348,396.0,G列,32.0,396億円（2026年3月期・単体）,"○ 妥当：自社HP会社概要に2026年3月31日現在の売上高396億円、従業員436名、株主コスモエネルギーホールディングス株式会社と明記。子会社だが単体396億円で§3-3を満たす。決算期も直近（§3-8）。なお決算公告系では442億4,100万円との別値も流通するが、いずれも300億超で判定は不変。同名の「コスモエンジニアリング株式会社（cosmo-eng.com／プラント設計）」が別に存在す"
2735,株式会社ＹＡＭＡＮＡＫＡ,4020001071646,396.0,G列,32.0,396億円（2025年8月期・単体）,○ 妥当：H列の出典URL https://www.clean-yamanaka.com/ja/company/outline.html は実在する自社HP会社概要ページで、株式会社YAMANAKA（本社 神奈川県川崎市幸区中幸町3-3-1、金属資源リサイクル、2023年で創業100周年）と同定一致。法人番号4020001071646（横浜法務局管内）とも整合。決算期が8月期であることは独立の求人
3372,株式会社東和銀行,2070001003514,396.34,G列,32.1,396.34億円（2026年3月期・単体・経常収益）,○ 妥当：東証上場（8558）の銀行本体で持株会社を持たない親会社。銀行は売上高科目がないため経常収益を採用（§3-7）。2026年3月期中間の連結経常収益205.46億円（半期）と通期単体396.34億円が整合し、300億割れの余地はない。ただし採用値450億円未満のため薄マージン扱い。
751,株式会社出前館,3120001089729,397.21,I列(訂正),32.4,397.21億円（2025年8月期・単体）,"○ 妥当（G列訂正：397.21億円（39,721百万円）は2025年8月期・連結。決算短信は〔日本基準〕(連結)であり「単体」表記は誤り）：数値は決算短信で再現（前期比▲21.2%）。親子判定を再検証：LINEヤフーの出前館株式保有比率は37.43%（2024年7月変更報告書）で、LY社は出前館を連結子会社ではなく非連結の持分法適用関連会社として維持と開示。よって親会社側判定となり自社連結397"
2,常洋水産株式会社,1050001001165,398.64,G列,32.9,398.64億円（2026年3月期・単体）,○ 妥当（1次の△を覆す）：どちらの数値を採っても300億を大きく超え、架電可否の結論は動かない。追加でjoyosuisan.com「会社概要」「ごあいさつ」を3クエリ再検索したが、いずれも1次と同じ「2025年3月期 売上高388.39億円／経常利益6.08億円／従業員 男220名・女136名（2025年3月31日現在）」を返した。従業員数の基準日が2025年3月31日で固定されている＝検索イン
