行,取引先ID,法人番号,取引先名,最終判定,G列の訂正指示,I列_検証結果
2726,001Nn00000ht0YM,8120001034713,関包スチール株式会社,架電可（G列訂正あり）,G列訂正：『600億円（現行会社情報）』は決算期不明で§3-8違反,"○ 妥当（G列訂正：『600億円（現行会社情報）』は決算期不明で§3-8違反。正しくは単体593.45億円（決算公告 第79期＝2023年3月31日決算／gBizINFO・官報に第79期・第80期とも収録））。反証検証の結果：関包スチール(株)は関包スチールホールディングス(株)（法人番号2120001220104・第6期＝設立が新しい持株会社）傘下の子会社であることを確認（自社サイトに国内9社・海外3社のグループ構成）。よって§3-3で単体値のみ有効。単体593.45億円は基準300億を大きく上回り架電可。グループ連結は日刊鉄鋼新聞（承認ソース＝新聞社、決算期・売上高明記）『関包スチールの2024年3月期連結決算は売上高911億9,900万円（前期比2.2%増）、経常利益54億4,500万円』。自社採用サイト『数字で見るKANPOH』の600億円はグループ値の可能性があり単体根拠には使わないこと。※第79期は2023年3月期で直近3期の境界。第80期（2024年3月期）決算公告での単体値更新を推奨"
2728,001Nn00000ht0YY,8122001025064,日産部品近畿販売株式会社,架電可（G列訂正あり）,G列訂正：数値・決算期の再確認を要す）：日産自動車系の子会社で、自社HP会社概要が当社単体の年間売上高を開示しているためソース種別は適法,"○ 妥当（G列訂正：数値・決算期の再確認を要す）：日産自動車系の子会社で、自社HP会社概要が当社単体の年間売上高を開示しているためソース種別は適法。ただし本検証では379億3,100万円および2023年度381億4,900万円という値が出て、G列の388.90億円（2025年度）を再現できなかった。いずれの値も300億は上回るため架電可否は○のままだが、400億未満で基準に近い水準であり、正確な期と金額の再確認を推奨。"
2741,001Nn00000ht0du,7122001007930,吉田鋼業株式会社,架電可（G列訂正あり）,G列訂正：G列『710億円（2023年・単体）』は自社採用サイトの過去最高売上高で鮮度切れ（§3-8）,"○ 妥当（G列訂正：G列『710億円（2023年・単体）』は自社採用サイトの過去最高売上高で鮮度切れ（§3-8）。日刊鉄鋼新聞（新聞社ソース＝§3-4の承認ソース、決算期と売上高が明記）により直近実績は2025年8月期 売上高609億円（前期比4.3%減）・経常利益30億円。決算期は8月期。G列は『609億円（2025年8月期・単体）』に更新すべき。300億超は変わらず架電可。本社 大阪府東大阪市、1966年11月設立、資本金9,000万円で法人番号7122001007930と整合）"
2754,001Nn00000ht0kM,2500001014252,カミ商事株式会社,架電可（G列訂正あり）,"G列訂正：最新期は2025年6月期1,182億円）：2024年6月期1,162億円という数値自体は正しいが最新ではない","○ 妥当（G列訂正：最新期は2025年6月期1,182億円）：2024年6月期1,162億円という数値自体は正しいが最新ではない。承認ソース上、2023年6月期1,116億円→2024年6月期1,162億円→2025年6月期1,182億円と推移しており、G列は最新期に更新すべき。いずれも1,000億円超で判定は不変。同社はカミ商事グループの親会社（愛媛製紙＝行2750、日本興運等を擁する）で子会社ではない。法人番号2500001014252一致。"
2758,001Nn00000ht0ne,2010401091338,豊通食料株式会社,架電可（G列訂正あり）,G列訂正,○ 妥当（1次のG列訂正注記は撤回。G列は正しい）：豊田通商100%子会社。反証として自社ドメイン（toyotsu-shokuryo.com）に限定して再検索したところ、会社概要／リクルートサイトから2026年3月期売上高801億円を再現でき、G列の「801億円（2026年3月期・単体）」は正確と確認。1次が示した703億円は2025年3月期＝前期値であり、G列の誤りではない。子会社だが単体で300億を大きく上回るため○。
2763,001Nn00000ht0sa,3120001066364,ダイビル株式会社,架電可（G列訂正あり）,G列訂正：525.06億円は連結,○ 妥当（G列訂正：525.06億円は連結。単体は326.65億円）：商船三井の完全子会社（上場廃止済、社債発行のため有報継続提出）で§3-3により単体判定が必要。2026年3月期の営業収益525億600万円（前期比25.44%増）は連結値であり、G列の「単体」表記は誤り。有報「提出会社の経営指標等」の単体営業収益は2025年3月期326.65億円／2024年3月期310.33億円／2023年3月期300.22億円／2022年3月期303.08億円／2021年3月期310.69億円。直近単体326.65億円で300億は上回るため○維持だが、単体は毎期300〜330億で基準ギリギリ。指標は売上高でなく営業収益。
2796,001Nn00000ht1Jj,8030001037849,株式会社アプレ,架電可（G列訂正あり）,"G列訂正：自社公式「数字で見る」は2024年度売上高1,638億円","○ 妥当（G列訂正：自社公式「数字で見る」は2024年度売上高1,638億円。G列の2,187億円は承認ソースで再現できず、出典のhrmos.coは自社ドメイン外の採用媒体で§3-4の承認ソースに該当しない）。いずれの値でも基準300億円を大幅超過するため架電可否は○。なお2019年MBOで非公開化しており（§3-3）、記載値が単体かグループかは公式上は単体かグループかの判別不能。"
2800,001Nn00000ht1M4,8010501020208,富士興産株式会社,架電可（G列訂正あり）,"G列訂正：自社IR決算短信の2025年3月期連結売上高は68,344百万円＝683.44億円","○ 妥当（G列訂正：自社IR決算短信の2025年3月期連結売上高は68,344百万円＝683.44億円。2026年3月期は会社予想82,000百万円＝820億円。G列の「671億円・2026年3月期・単体」は承認ソースで再現できず、同社は東証上場〔5009〕の連結開示会社で単体表記も誤り）。上場親会社のため連結値OKで基準を大幅超過、架電可否は○。"
2803,001Nn00000ht1bA,8170001000594,岡畑産業株式会社,架電可（G列訂正あり）,G列訂正：決算期を明記,○ 妥当（G列訂正：決算期を明記。自社ドメイン内の採用ページ「数字でみる岡畑産業」で2026年3月期売上高445億円を確認。G列の「現行採用公式情報」表記は§3-8の鮮度判定ができないため「445億円（2026年3月期）」に補正）。※同名類似の岡畑興産株式会社（okahata.co.jp・大阪）は別法人。本件は法人番号8170001000594＝神戸の岡畑産業。基準比+48%で余裕は薄め。
2815,001Nn00000ht2MU,1011101062340,大東通商株式会社,架電可（G列訂正あり）,"G列訂正：1,142.07億円は承認ソースで再現不能）：大東通商グループの最上位会社（自社ニュースリリースで子会社の吸収合併を公表＝親会社と確定）、法人格は株式会社","○ 妥当（G列訂正：1,142.07億円は承認ソースで再現不能）：大東通商グループの最上位会社（自社ニュースリリースで子会社の吸収合併を公表＝親会社と確定）、法人格は株式会社。反証としてdaitohnet.co.jpに限定し「114,207百万円」をシード指定して2回検索したが一度も再現せず、会社情報ページからも売上高の数値を取得できなかった。代わりに「単体売上高421億円（2026年3月期）・単体従業員58名」という整合的な値が繰り返し出るが、出所がマイナビ等の禁止ソースである可能性が残る。いずれの値でも300億は超えるため○維持。自社採用サイトの会社データ頁で単体421億円の裏取りを推奨。"
2825,001Nn00000ht33C,8220001007865,株式会社ビーイングホールディングス,架電不可（元△判定が妥当と確認）,"G列訂正：科目は「売上高」ではなく「営業収益」）：株式会社ビーイングホールディングス（東証スタンダード・9145／陸運業）2025年12月期 連結営業収益 33,515百万円＝335.15億円（前期比+11.0","○ 妥当（G列訂正：科目は「売上高」ではなく「営業収益」）：株式会社ビーイングホールディングス（東証スタンダード・9145／陸運業）2025年12月期 連結営業収益 33,515百万円＝335.15億円（前期比+11.0%、営業利益2,304百万円）を2026年2月13日開示の決算短信〔日本基準〕（連結）で再現確認。HDのため連結で判定可（§3-3）。1次回収は「連結売上高」としたが決算短信P/Lのトップラインは営業収益。基準300億に対する余裕は+11.7%と薄い。"
2859,001Nn000013RdIi,8010001135778,ショーボンドホールディングス株式会社,架電可（G列訂正あり）,G列訂正：最新は2026年6月期の連結売上高892億400万円＝892.04億円〔2026/8/10 TDnet決算短信〕,○ 妥当（G列訂正：最新は2026年6月期の連結売上高892億400万円＝892.04億円〔2026/8/10 TDnet決算短信〕。G列の854.2億円・2024年6月期は2期前の値で、§3-8の直近3期内ではあるが最新値に更新すべき）。持株会社のため連結値OK、基準300億円を大幅超過で架電可否は○。
2893,001Nn000013RqAQ,3180001022262,中部水産株式会社,架電可（G列訂正あり）,"G列訂正：最新は2026年3月期の単体〔非連結〕売上高367億6,092万円＝367.61億円〔2026/5/15決算短信〕","○ 妥当（G列訂正：最新は2026年3月期の単体〔非連結〕売上高367億6,092万円＝367.61億円〔2026/5/15決算短信〕。G列の361.46億円・2024年3月期は古い値で、+1.7%の前期＝2025年3月期の数値とも紛らわしい）。名古屋市中央卸売市場の卸売業者で上場〔8145〕、単体決算のため§3-3は問題なし。基準比+22%で余裕は薄い。"
2922,001Nn000013Rt9x,2120001025932,大阪シーリング印刷株式会社,架電可（G列訂正あり）,"G列訂正：正しくは単体983.36億円／OSPグループ1,112.55億円）：反証段階で3クエリ（うち1回は金額「1,000億8,200万円」をシードしosp.co.jpに限定）を投じたが、G列の「1,000.","○ 妥当（G列訂正：正しくは単体983.36億円／OSPグループ1,112.55億円）：反証段階で3クエリ（うち1回は金額「1,000億8,200万円」をシードしosp.co.jpに限定）を投じたが、G列の「1,000.82億円（2026年1月期・単体）」は一度も再現できず、代わりに自社サイト『数字でみるOSP』の整合的な数表（OSPグループ1,112億5,500万円／大阪シーリング印刷単体983億3,600万円）が3回とも一貫して返った。1次値は誤りである可能性が高く、単体1,000.82億円は実際にはグループ値でも単体値でもない。決算期は自社ページに明示がなく、2025年1月期とする記載はマイナビ・Yahoo等の禁止ソース由来のため参考扱い（§3-4）。ただし同社はOSPグループの親会社（上位に持株会社なし）であり§3-3によりグループ値も可、単体983億円でも基準300億円の3倍超のため、いずれの解釈でも架電可否は○で不変。§6-2：法人番号2120001025932＝大阪市の大阪シーリング印刷で一致。"
2932,001Nn000013RtA9,2011101020537,三井ホーム株式会社,架電可（G列訂正あり）,"G列訂正：単体2,329.38億円・2026年3月期","○ 妥当（G列訂正：単体2,329.38億円・2026年3月期。1次の「約2,601億円」は連結値と見られ単体ではない／§6-4）。三井不動産の子会社だが単体で基準の7.8倍のためOK。自社HPに有価証券報告書・決算短信・公告決算公告の各ページを持つ有報提出会社（EDINET E00235）で承認ソースは自社IRから取得可。※1次の「三井不動産有報で連結売上高10%超の注記」は再現できず不採用（単体2,329億円<三井不動産連結2兆7,097億円の10%=2,709.7億円で論理も不整合）。"
2933,001Nn000013RtAA,1180001004741,株式会社ジーフット,架電可（G列訂正あり）,G列訂正：単体→連結）：2026年2月期の売上高569億600万円は決算短信〔日本基準〕【連結】の値であり、G列の『単体』表記は誤り,○ 妥当（G列訂正：単体→連結）：2026年2月期の売上高569億600万円は決算短信〔日本基準〕【連結】の値であり、G列の『単体』表記は誤り。正しくは『569.06億円（2026年2月期・連結）』。ジーフット自身の連結であり親会社イオンのグループ連結ではないため300億基準は満たすが、対象法人“単体”値は未確認（§3-3・§6-4）。また資本異動あり：イオンが2026年4月8日に完全子会社化を発表、6月25日株式併合で完全子会社化・上場廃止（商号変更はなし）。7期連続最終赤字・債務超過・前期比5.1%減収のため次期の300億割れを要監視。
2964,001Nn000013RtAk,4180001009176,株式会社パロマ,架電可,G列訂正,"○ 妥当（架電可を維持）だがH列の根拠は誤りでG列訂正が必要：株式会社パロマは2023年10月設立の株式会社パロマ・リームホールディングス傘下（2024年3月〜）の日本事業会社であり、H列の「グループ中核会社としてグループ連結1兆1,780億円」をそのまま当てるのは§3-3違反（子会社にグループ連結）。今回の反証で追加確認した根拠：①自社HP（§3-4①の承認ソース）に業績ハイライトPDF https://www.paloma.co.jp/vc-files/vs-files/corporate/company/pdf/highlight.pdf が実在し、パロマグループ連結売上高が2022年度907,414百万円＝9,074.14億円、2023年度904,574百万円＝9,045.74億円と明記（百万円単位。904億円ではなく9,045.74億円。§6-1の桁注意）。②パロマ・リームHD公式リリース（2024年12月期連結決算概要）でグループ売上高約1兆円・地域別構成の日本7%＝約700億円。③株式会社パロマ単体は第59期（2024年12月期）712億9,500万円で官報決算公告に記載（出典サイトはcatr.jpのため§7-1未決着に依存、補強材料の扱い）。①〜③が相互に整合し、単体700億円台＝基準300億の約2.4倍で、子会社と見ても親会社と見ても結論は動かない。法人番号4180001009176の登記所コード1800＝名古屋で本社所在地と一致、同名別法人の疑いなし。G列は空欄のままで仕様違反、「712.95億円（2024年12月期・単体）」の記入が必要。残る疑問：単体712.95億円をcatr.jp以外の承認ソース単独で再現できていないこと、およびTOKIUM側がパロマを「HD傘下の子会社」と見るか「パロマグループの発信主体」と見るかで適用条文が変わること。"
3104,001Nn000013S6oU,4011001034569,株式会社バイク王＆カンパニー,架電可（G列訂正あり）,G列訂正：385.74億円（2025年11月期・連結））：東証スタンダード上場3377の親会社で自ら連結決算を開示しているため連結判定可,"○ 妥当（G列訂正：385.74億円（2025年11月期・連結））：東証スタンダード上場3377の親会社で自ら連結決算を開示しているため連結判定可。2025年11月期の連結売上高385億7,400万円（前期比13.6%増）、営業利益5億8,500万円（同104.5%増）、経常利益8億2,900万円（同42.0%増）。G列の『2025年度・単体』は決算期表記と単体/連結の別が誤りで、正しくは2025年11月期・連結385.74億円。金額水準は300億超のため架電可否は○のまま。出典は自社IR業績ハイライト。採用値385億は450億未満の薄マージン。"
3105,001Nn000013S6oZ,6220001009293,株式会社トランテックス,架電可（G列訂正あり）,G列訂正：406億円（2025年度・単体）,"○ 妥当（G列訂正：406億円（2025年度・単体）。1次の『410億円（2024年度）』は1期前の旧版）：反証検索で、出典である自社採用サイト『データで見るトランテックス』の現行表示が2025年度売上高406億円・従業員1,431名（2026年6月時点）に更新済みであることを確認。1次が採用した410億円は従業員1,396名（2025年6月時点）版のスナップショットで、H列記載のURLを今開いても再現しない（監査時に数値不一致となる）。よって数値と決算期をG列で訂正する。ソース自体は§5-3⑨『自社ドメイン内の採用ページ』に該当し承認ソースのまま。親子判定：日野自動車の100%出資連結子会社のため§3-3により単体で300億以上が必要だが、406億は同社単体値であり日野の連結値を流用したものではない。410→406の下方修正後も基準300億を35%上回るため判定は不動、○を維持。"
3111,001Nn000013S6oo,2350001002669,株式会社ソラシドエア,架電不可（元△判定が妥当と確認）,"G列訂正：553.37億円＝55,337百万円（2026年3月期・単体・営業収入、前期比+6.3%で過去最高、営業利益20億円・純利益8.11億円）","○ 妥当（G列訂正：553.37億円＝55,337百万円（2026年3月期・単体・営業収入、前期比+6.3%で過去最高、営業利益20億円・純利益8.11億円）。1次採用の520.13億円は2025年3月期で1期古い）。自社公式リリース『2026年3月期決算について』2026/5/29で開示。原文表記は営業収入だが航空運送事業の売上高そのもの（§3-7の経常収益と同じ扱い）。ANAHD持分法適用で子会社ではない。"
3140,001Nn000013S80N,2010401069169,株式会社テクノプロ,架電可（G列訂正あり）,"G列訂正：2,023億円〈2026年6月期・単体〉","○ 妥当（G列訂正：2,023億円〈2026年6月期・単体〉。G列の「1,856億円（2025年6月期）」は前年度の旧値）：H列が出典とする自社企業情報ページを金額シード検索で再現確認したところ、1,856億円/2025年6月期は現在同ページに存在せず、最新表示は2026年6月期 売上高2,023億円・従業員27,196名（2026年6月末）・122拠点。1次は前年度値を掴んでいる。株式会社テクノプロはテクノプロ・ホールディングス（6028）の事業子会社だが採用値は単体のため§3-3準拠、単体2,023億円は基準300億の約6.7倍で判定は不動。法人番号2010401069169一致。テクノプロ・R&D社/IT社/エンジニアリング社は社内カンパニーで別法人ではない（R&D社単独は2025年6月期108億円で、これを掴むと誤判定になる点に注意）。"
3157,001Nn000013SHWo,2010401044997,株式会社東芝,架電可（G列訂正あり）,G列訂正：単体連結の別／親子判定）：数値自体は正しい,"○ 妥当（G列訂正：単体連結の別／親子判定）：数値自体は正しい。2026年3月期連結売上高3兆7,091億円（前期比6%増、営業利益3,088億円、純利益1兆9,673億円＝キオクシア株評価益等）を報道で確認。ただし東芝は2023/12/20上場廃止でTBJH株式会社（JIP系）の完全子会社であり、§3-3では子会社＝単体判定が必要（ラクスルと同型の論点）。単体売上高は本検証で未取得。連結3.7兆円の中核事業会社であり単体でも300億を大きく下回る余地はないため架電可否は○のまま。2028年度にも再上場予定。社名変更・合併はなし。E列「300億〜1,000億未満」はSF側の誤り。"
3166,001Nn000013SHWy,4010401039979,ＬＩＮＥヤフー株式会社,架電可（G列訂正あり）,G列訂正：単体連結の別／親子判定）：数値は正しい,"○ 妥当（G列訂正：単体連結の別／親子判定）：数値は正しい。2026年3月期決算短信（2026/5/8）の連結売上収益2,036,366百万円＝20,363.66億円（前期比6.2%増）を再現確認、桁検算OK。ただしLINEヤフーはAホールディングス（ソフトバンク・NAVERのJV）が議決権の過半を保有する子会社であり、§3-3では厳密には単体判定。単体（個別業績）の売上高は決算短信で「前期並み」とされるのみで金額は本検証で未取得。国内主要事業を自社で営む会社であり単体でも300億を下回る余地はないため架電可否は○のまま。社名変更・合併なし。"
3204,001Nn000013SHXe,3010401025641,株式会社フォーラムエンジニアリング,架電可（G列訂正あり）,G列訂正：①単体→連結の別が誤り ②決算期は2026年3月期へ更新可）,"○ 妥当（G列訂正：①単体→連結の別が誤り ②決算期は2026年3月期へ更新可）。架電可否は○のまま。【G列訂正1・§6-4】346.83億円は「単体」ではない。2025年5月14日開示の『2025年３月期 決算短信〔日本基準〕（連結）』の連結売上高34,688百万円＝346.88億円（gBizINFO/EDINET表記34,683百万円）であり、正しくは『346.88億円（2025年3月期・連結）』。【単体でも基準クリア・§3-3】当社はKKR（KJ003株式会社）のTOBが2025年12月23日に成立し株式併合によるスクイーズアウトで完全子会社化・上場廃止となったため、子会社ルールにより単体300億円以上が必要。単体の個別売上高は開示上取れなかったが、連結範囲は当社＋連結子会社1社（コグナビサービス提供子会社）のみで、2025年3月期売上高の98.8%が親会社直営のエンジニア派遣サービス。よって単体は340億円前後と推定され300億円を上回る。【G列訂正2・§3-8】2026年3月期の実績が既に出ており2025年3月期は最新でない。2026年3月期は第3四半期累計281.55億円（前年同期比+8.1%）、通期予想382億円（+10.1%）で、単体・連結いずれでも300億円超。【反証できず】数値・親子判定・決算期のいずれも300億円基準を割る材料は出なかったため○を維持。残る疑問は単体（個別）売上高の実額が未取得である点のみ（非公開化後は個別開示が細るため、次回は決算公告ルートを推奨）。"
3210,001Nn000013SHXl,5020001090389,株式会社アルプス技研,架電可（G列訂正あり）,G列訂正,"○ 妥当（G列訂正なし・I列根拠訂正）：親会社（東証プライム4641、上位に親会社なし）。単体406.94億円（40,693,530千円）はgBizINFO/自社会社概要ベースで300億超。ただし1次が根拠に挙げた「2025年12月期連結461億04百万円」は自社IR・一般検索いずれでも再現できず、返るのは2025年12月期連結約526.5億円（通期修正527億円、3Q累計381.90億円と整合）。461億は2023年12月期の連結値を掴んだ可能性が高く、根拠として使うべきでない。単体406.94億／連結約526.5億のいずれでも300億超のため判定は○のまま。単体値が2024年12月期のものである可能性は残る（未解消）。"
3268,001Nn000013ScTd,9290001076250,株式会社フードウェイＨＤ,架電不可（元△判定が妥当と確認）,G列訂正：461.3億円→2026年2月期・グループ合計,○ 妥当（G列訂正：461.3億円→2026年2月期・グループ合計。1次の「420億円・2025年2月期」は前期値）。反証点検＝①法人番号9290001076250は株式会社フードウェイＨＤ（福岡市早良区高取1-2-22、法人番号指定2016/12/28）で持株会社。事業会社の株式会社フードウェイ（8290001022338）とは別法人であり、§3-3「HDはグループ連結300億円超で可」に該当。②グループ売上は2024年2月期367億→2025年2月期420億→2026年2月期461.3億（営業利益14.7億）と決算期明記で連結し、直近3期すべて300億超。③自社HP「ごあいさつ」の「年商はようやく400億を超える規模」と整合。留意：事業会社フードウェイ単体は283.5億円（2026年2月期・スーパー事業）で300億未満のため、架電先を事業会社側に取り違えるとNG。決算期付き数値の出典はNetIB-News（(株)データ・マックス）で§3-4④の新聞社記事扱い。
3284,001Nn000013SdVs,1010501004506,株式会社コバヤシ,架電可（G列訂正あり）,G列訂正：406.03億円は2025年3月期・単体であり2026年3月期ではない）：自社会社概要／新卒採用サイトの掲載値は売上高406億300万円・従業員720名（2025年4月21日現在）で2025年3月期実,○ 妥当（G列訂正：406.03億円は2025年3月期・単体であり2026年3月期ではない）：自社会社概要／新卒採用サイトの掲載値は売上高406億300万円・従業員720名（2025年4月21日現在）で2025年3月期実績。2回の検索でいずれも2025年3月期として返り、2026年3月期の値は承認ソースで確認できず。300億超かつ直近3期以内のため架電可否は○のまま。
3293,001Nn000013SdXB,4010401005007,ＮＴＴＰＣコミュニケーションズ株式会社,架電可（G列訂正あり）,G列訂正：『499億円（2026年3月期・単体）』→『438.95億円（2025年3月期・単体）』）：反証検証で499億円を金額シード指定を含め計3回検索したが一度も返らず、代わりに『2025年3月期 売上高4,"○ 妥当（G列訂正：『499億円（2026年3月期・単体）』→『438.95億円（2025年3月期・単体）』）：反証検証で499億円を金額シード指定を含め計3回検索したが一度も返らず、代わりに『2025年3月期 売上高438億9,500万円（2024年度438億円）』が3回とも一致して返った。1次値499億円・2026年3月期は承認ソースで再現できず誤りの可能性が高い。自社HPの会社概要・『数字で見るNTTPC』・電子公告（計算書類PDF、第38期等）の各ページ存在は確認したがPDF本文は未読。NTTドコモビジネス傘下の子会社だが対象法人“単体”値であり、438億でも499億でも300億を大幅超過するため架電可否は○のまま。"
3294,001Nn000013SdXc,2010001004773,株式会社イノメディックス,架電可（G列訂正あり）,G列訂正：752億円は「2024年10月時点」ではなく2024年10月期・単体）：自社会社概要でAnnual Sales 752億円（2024年10月期）、前期755億円（2023年10月期）を確認,○ 妥当（G列訂正：752億円は「2024年10月時点」ではなく2024年10月期・単体）：自社会社概要でAnnual Sales 752億円（2024年10月期）、前期755億円（2023年10月期）を確認。10月決算のため直近3期以内で可。オリックスが2014年に資本参加しており子会社の可能性があるが、採用値が単体のため§3-3は充足。2025年10月期の値は承認ソースで未確認。
3300,001Nn000013SdYL,5130001019815,石黒メディカルシステム株式会社,架電可（G列訂正あり）,G列訂正：559.88億円・2025年8月期・単体,"○ 妥当（G列訂正：559.88億円・2025年8月期・単体。「2025年実績」では決算期が不明確）：自社サイトの業績推移で2025年8月期売上高559億8,843万円、前期2024年8月期514億円を確認。8月決算で直近3期以内。"
3358,001Nn000013SdaE,4010601008387,株式会社ソミック石川,架電可（G列訂正あり）,G列訂正：687億円が承認ソースで再現できず）：ソミックマネージメントHD傘下の子会社,○ 妥当（G列訂正：687億円が承認ソースで再現できず）：ソミックマネージメントHD傘下の子会社。対象法人自身の売上高規模は646〜647億円台として流通しており（2025年度646.15億円／2023年度647億円、いずれも禁止ソース側の記載）、自社サイト会社概要でも687億円は再現できなかった。どの値でも単体で300億超は動かないため架電可否は○のまま。G列の数値・決算期は自社会社概要で要再確認。
3387,001Nn000013Sdcd,2180301021007,小島プレス工業株式会社,架電可（G列訂正あり）,"G列訂正：単体ではなくグループ値）：小島プレス工業は小島グループ（関係会社30社・従業員7,500人超）の母体＝親会社（非上場）のため、グループ値・単体いずれでも採用可（§3-3）で判定は○のまま","○ 妥当（G列訂正：単体ではなくグループ値）：小島プレス工業は小島グループ（関係会社30社・従業員7,500人超）の母体＝親会社（非上場）のため、グループ値・単体いずれでも採用可（§3-3）で判定は○のまま。ただし自社「会社データ」の売上高2,346億円は同ページの社員1,625名に対し過大で、グループ連結ベースと判断。単体は官報決算公告 第19期（2026年2月掲載・代表者小島栄二／豊田市下市場町が一致）で売上高63,718百万円＝637.18億円。G列は「2,346億円（2025年度・小島グループ）」＋単体637.18億円の併記が正確。単体でも300億超。"
3416,001Nn000013Sddf,9070001016708,株式会社山田製作所,架電可（G列訂正あり）,G列訂正：決算期表記,"○ 妥当（G列訂正：決算期表記。正しくは「381億円（2025年度実績・単独）」。G列の『2026年4月1日現在』は自社会社概要の掲載基準日であって決算期ではない）：株式会社山田製作所（群馬県桐生市広沢町1-2757、法人番号9070001016708）。自社会社概要PDFで売上高381億円（2025年度実績）・資本金20億円・従業員1,250名（2026年3月末現在）・四輪/二輪機能部品を再現確認。連結899億円を持つ親会社側であり子会社規制の対象外。単体381億円は基準300億に対し余裕27%と薄いため次期決算で要再確認。"
3418,001Nn000013Sddh,1010401029009,美和ロック株式会社,架電可（G列訂正あり）,"G列訂正：正しくは486.40億円＝48,640百万円、2025年3月期・第83期・単体）","○ 妥当（G列訂正：正しくは486.40億円＝48,640百万円、2025年3月期・第83期・単体）。G列の471.15億円は岩手県定住財団の就業支援サイト由来で§3-4の承認ソースに該当せず、承認系で再現できない。官報決算公告（第83期）は売上高48,640百万円・当期純利益5,206百万円・利益剰余金797億円で規模も整合。※公告の参照経路がcatr.jp／官報ブログのため§7-1の先方確認対象。美和ロックは非上場の独立系（親会社なし）で、いずれの値でも300億超のため架電可否は○のまま。"
3427,001Nn000013Sddz,9340001011838,マルイ食品株式会社,架電可（G列訂正あり）,G列訂正：正しくは「約382億円（2023年度＝2024年2月期・単体）」,"○ 妥当（G列訂正：正しくは「約382億円（2023年度＝2024年2月期・単体）」。G列の『435億円（2025年度）』は承認ソースで再現できず、金額シード検索でも一度も返らなかった）：マルイ食品株式会社（鹿児島県出水市、法人番号9340001011838）。マルイ農協グループ公式PDF「関連会社一覧」に資本金1億円・年間売上約382億円・従業員1,360名（2024年2月末）と明記。グループ連結約572億円と規模整合。母体はマルイ農業協同組合で同社は子会社だが、単体382億円で§3-3の300億以上を満たすため架電可否は○のまま。ただし余裕27%と薄く、かつ2023年度で§3-8の直近3期の下限。より新しい単体値は未確認。"
3456,001Nn000013Sdex,3430001022088,株式会社北海道新聞社,架電可（G列訂正あり）,"G列訂正：372.97億円（2025年3月期・単体）が正確）：自社プレスリリース「2025年3月期決算等について」（2025年6月3日）で売上高372億9,700万円・前期比1.3%増、経常利益19億2,500","○ 妥当（G列訂正：372.97億円（2025年3月期・単体）が正確）：自社プレスリリース「2025年3月期決算等について」（2025年6月3日）で売上高372億9,700万円・前期比1.3%増、経常利益19億2,500万円・3期ぶり増益を確認。G列の「372億円」は切り捨て表記。株式会社北海道新聞社（法人番号3430001022088）は親会社で単体値採用のため§3-3問題なし。2025年3月期は§3-8の直近3期以内。300億に対する余裕は約73億。"
3466,001Nn000013SdfO,8170001001931,株式会社大黒,架電可（G列訂正あり）,G列訂正：448.1億円（2024年度・単体）が自社会社概要の記載）：daikoku-medical.co.jpをドメイン限定で照会した回を含め2回とも、自社会社概要の記載は「売上高448.1億円（2024年度,○ 妥当（G列訂正：448.1億円（2024年度・単体）が自社会社概要の記載）：daikoku-medical.co.jpをドメイン限定で照会した回を含め2回とも、自社会社概要の記載は「売上高448.1億円（2024年度）・従業員454名（2025年3月31日現在）」。G列の467.9億円（2025年度）は承認ソースで再現できなかった。いずれの値でも300億基準は充足するため架電可否は○。株式会社大黒（法人番号8170001001931）は和歌山の医療機器商社で親会社、単体判定。
