行,取引先ID,法人番号,取引先名,元H判定,最終判定,架電可,I列_検証結果,J列_ソース
3066,001Nn000013S0fM,4500001019662,株式会社しまなみ環境計測,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。追加で当たった経路＝①§6-2法人番号照合：4500001019662の登記所コード5000＝松山地方法務局で本店（愛媛県今治市片山2-9-13）と整合、代表取締役中塚英樹。②§5-3⑦公的機関：愛媛県上島町の令和7・8年度入札参加業者一覧に登録がある地場の計量証明・環境調査事業者で、同名簿にも売上高の記載はない。③自社HP会社概要、④EDINET/TDnet（提出実績なし）、⑤決算公告・官報索引にも記載なし。承認ソースで実額が取れないため△。,http://www.skkankyo.co.jp/index.html; https://www.town.kamijima.lg.jp/uploaded/life/25579_98260_misc.pdf
3067,001Nn000013S0fW,5140001024178,ハイ・トラスト株式会社,△,架電不可（△要再確認）,×,"△ 妥当：確認不可で正しい。追加で当たった経路＝①§6-2法人番号照合：5140001024178の登記所コード1400＝神戸地方法務局本局で本店（神戸市灘区備後町）と整合。種別01＝株式会社で§3-6は通る。②自社HP会社概要＝平成17年4月設立・資本金2,000万円・メディカルアウトソーシング／人材派遣・職業紹介。売上高の記載なし。③EDINET/TDnet提出実績なし、④決算公告・官報索引に記載なし、⑤親会社なし。栃木ハイトラスト株式会社は別法人。資本金2,000万円はSF E列「1,000億円以上」と著しく不整合。実額が取れないため△。",https://www.hightrust.co.jp/company.html; https://www.hightrust.co.jp/
3068,001Nn000013S0yy,8010705001805,一般財団法人海外通信・放送コンサルティング協力,×,架電不可（元×判定が妥当と確認）,×,○ 妥当：既存の×（法人格NG）判定は正しい。法人番号8010705001805は会社法人等番号の種別コードが「05」（組合等登記令等に基づく登記＝株式会社では付番されない）で、商号の「一般財団法人」と整合。チェックデジットも検算一致。§3-6により売上高の多寡を問わず対象外。G列「対象外（一般財団法人）」も表記どおりで妥当。,
3069,001Nn000013S0yz,8011201005449,株式会社メッツ研究所,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。追加で当たった経路＝①§6-2法人番号照合：8011201005449の登記所コード0112＝東京法務局新宿出張所で本店（東京都新宿区矢来町126 NITTOビル）と整合。種別01＝株式会社で§3-6は通る。②自社HP会社概要＝1977年7月設立、自然環境調査・計画、地域づくり／島づくり支援のコンサルティング。売上高の記載なし。③EDINET/TDnet提出実績なし（未上場）、④決算公告・官報索引に記載なし。⑤軽金属の株式会社メッツ（metts.co.jp）および株式会社メッツ（mets-tokyo.jp）は別法人で数値流用不可。承認ソースで実額が取れないため△。,http://mets-ri.co.jp/?page_id=7; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=8011201005449
3070,001Nn000013S0z2,8030001045579,株式会社川瀬製作所,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。追加で当たった経路＝①§6-2法人番号照合：8030001045579の登記所コード0300＝さいたま地方法務局本局で本店（埼玉県新座市野火止7-16-9）と整合、代表取締役田口聡。種別01＝株式会社で§3-6は通る。②自社HP会社概要＝創業50年、金型設計・製作、プラスチック射出成形・二次加工、iP浄化法による排水処理。売上高の記載なし。③EDINET/TDnet提出実績なし、④決算公告・官報索引に記載なし、⑤親会社なし。承認ソースで実額が取れないため△が確定した結論。,http://kawase.eco.coocan.jp/; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=8030001045579
3071,001Nn000013S0z3,8030001089691,株式会社金聖堂情報システム,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。追加で当たった経路＝決算公告(官報/二次索引)・EDINET・新聞記事・自社HP会社概要いずれも売上高の記載なし。法人番号8030001089691の登記所コード0300＝さいたま地方法務局で、自社HP所在地(埼玉県日高市)と一致し同名別法人ではないことを確認。実体はマイクロフィルム撮影・電子化の中小事業者でE列『300億以上』は誤り。数値はSalesNow/Baseconnect等の禁止ソースにしか存在しない。,https://www.kinseidou.co.jp/profile01.html;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=8030001089691;https://www.jiima.or.jp/member_company/
3072,001Nn000013S0zD,8320001013746,株式会社エンジェル,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。追加で当たった経路＝決算公告(官報)・EDINET・新聞記事・建設業許可系の公的掲載を確認したが売上高の記載なし。法人番号8320001013746の登記所コード3200＝大分地方法務局で、自社HP所在地(大分県佐伯市葛港)と一致。事業は公共工事書類作成代行・住宅リフォーム・塗装・鉄スクラップ買取の地場中小で、E列『300億以上』は誤りの可能性が高い。承認ソースに数値なしのため△を維持。,http://angel-saiki.com/kaisya.html;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=8320001013746;https://www.kensetumap.com/company/491358/
3073,001Nn000013S0zJ,9011001064628,株式会社エイエフエイ,△,架電不可（△要再確認）,×,"△ 妥当：確認不可で正しい。追加で当たった経路＝決算公告(官報)・EDINET・新聞記事・自社HP会社概要を確認したが売上高の記載なし。法人番号9011001064628の登記所コード0110＝東京法務局管内出張所で、自社HP所在地(渋谷区代々木・新宿マインズタワー)と整合。事業は協同組合受託の技能実習生入国後講習・通訳翻訳で、E列『1,000億以上』は明らかに誤り。承認ソースに数値がないため△。",http://www.afa.co.jp/;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=9011001064628
3074,001Nn000013S0zP,9070001017994,株式会社理工技術,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。追加で当たった経路＝決算公告(官報)・EDINET・新聞記事・自社HP会社概要/採用ページを確認したが売上高の記載なし。法人番号9070001017994の登記所コード0700＝前橋地方法務局で群馬県所在と一致。事業は地籍調査を基本とする測量業(創業36年)で、E列『300億以上』は業態規模と整合しない。承認ソースに数値がないため△を維持。,https://rikohgijyutu.jp/company/;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=9070001017994
3075,001Nn000013S0zW,1010001208771,株式会社ＡＤワークスグループ,○,架電可,○,"○ 妥当：持株会社のため連結採用は§3-3に適合。2025年12月期第3四半期累計売上高52,278百万円＝522.78億円（第3四半期決算短信、第1四半期は14,168百万円）と通期675.32億円は整合的で、桁の誤りはない。なお H列の「67,531.965百万円」は単位表記が不正確（675.32億円＝約67,532百万円の意）で、記載の整形のみ要修正。基準に対し余裕125%で判定は不変。",https://equity.jiji.com/storage/tdnet/140120251113599343.pdf;https://www.adwg.co.jp/ir/library/
3076,001Nn000013S0zY,1010401050550,株式会社トリテック,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。追加で当たった経路＝決算公告(官報)・EDINET・新聞記事・自社HP会社概要を確認したが売上高の記載なし。法人番号1010401050550をgBizINFOで照合し東京都港区新橋1-1-1日比谷ビル4階・従業員5〜10人未満・1991年3月設立と確認。同名の『トリテック株式会社』(3012401042179)とは別法人。船舶管理・外国人船員派遣の小規模事業者でE列『300億以上』は誤り。,https://www.toritec.co.jp/company/;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010401050550
3077,001Nn000013S0zn,2012302005764,有限会社クリーンシステム,×,架電不可（元×判定が妥当と確認）,×,"○ 妥当：既存の×（法人格NG）判定は正しい。法人番号2012302005764は種別コード「02」＝有限会社。特例有限会社が株式会社へ移行した場合は解散・設立登記により種別01の新番号が付番されるため、種別02のままであること自体が現在も有限会社であることを支持する。チェックデジットも検算一致。§3-6（2026/08/24 濱本さん回答で有限会社NG確定）により対象外。E列レンジ（5: 300億円以上~1,000億円未満）はSF登録値で§3-4により判定根拠にしない。",
3078,001Nn000013S0zp,2030001033580,株式会社大堀,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。追加で当たった経路＝決算公告(官報)・EDINET・新聞記事・自社HP/採用ページを確認したが売上高の記載なし。法人番号2030001033580の登記所コード0300＝さいたま地方法務局で、所在地(埼玉県加須市不動岡)と一致。加須市商工会工業部会所属の産業廃棄物収集運搬・環境経営支援の地場中小で、E列『300億以上』は誤りの可能性が高い。承認ソースに数値がないため△。,http://oohori-sanpai.com/?page_id=6;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2030001033580;https://www.kazo-kogyobukai.net/
3079,001Nn000013S0zx,2370001017871,株式会社リセルバー,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。追加で当たった経路＝決算公告(官報)・EDINET・新聞記事・ジェトロ仙台の県内貿易関係企業紹介・自社HP会社概要を確認したが売上高の記載なし。法人番号2370001017871の登記所コード3700＝仙台法務局で、所在地(宮城県黒川郡大郷町中村字原町19)と一致。1993年設立の汚泥脱水助剤メーカーでE列『300億以上』は誤り。承認ソースに数値がないため△。,https://reselber.co.jp/;https://www.jetro.go.jp/jetro/japan/sendai/company/reselber.html;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2370001017871
3080,001Nn000013S0zy,2370402000278,有限会社イー・アイ・エス,×,架電不可（元×判定が妥当と確認）,×,"○ 妥当：既存の×（法人格NG）判定は正しい。法人番号2370402000278は種別コード「02」＝有限会社。特例有限会社が株式会社へ移行した場合は解散・設立登記により種別01の新番号が付番されるため、種別02のままであること自体が現在も有限会社であることを支持する。チェックデジットも検算一致。§3-6（2026/08/24 濱本さん回答で有限会社NG確定）により対象外。E列レンジ（5: 300億円以上~1,000億円未満）はSF登録値で§3-4により判定根拠にしない。",
3081,001Nn000013S0zz,2380002021715,有限会社エリアス,×,架電不可（元×判定が妥当と確認）,×,"○ 妥当：既存の×（法人格NG）判定は正しい。法人番号2380002021715は種別コード「02」＝有限会社。特例有限会社が株式会社へ移行した場合は解散・設立登記により種別01の新番号が付番されるため、種別02のままであること自体が現在も有限会社であることを支持する。チェックデジットも検算一致。§3-6（2026/08/24 濱本さん回答で有限会社NG確定）により対象外。E列レンジ（5: 300億円以上~1,000億円未満）はSF登録値で§3-4により判定根拠にしない。",
3082,001Nn000013S102,3010001216624,プライマスジャパン株式会社,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。追加調査で当社が株式会社D&Dホールディングス傘下の子会社(中古車プライシング起点のD&Dグループ、事業は自動車輸出・輸出サポート)と判明。§3-3により子会社はグループ連結を使えず、自社HPの『2025年度グループ合算800億円』は判定に使用不可。親会社D&Dホールディングスは非上場でIR・有報・関係会社の状況が存在せず、当社単体の官報決算公告も特定できず。単体実額が取れないため△。,https://primass-japan.co.jp/ja/about/;https://www.dd-holdings.co.jp/news/category/cat-09;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3010001216624
3083,001Nn000013S10B,3180301001387,中日コンサルタント株式会社,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。追加で当たった経路＝決算公告(官報)・EDINET・新聞記事・自社HP会社概要を確認したが売上高の記載なし。法人番号3180301001387をgBizINFOで照合し、同名の『株式会社中日コンサルタント』(5200001017200・岐阜県美濃加茂市)とは別法人と確認。上下水道系の建設コンサルタントで、売上300億超は日本工営・建設技術研究所クラスに限られる規模感。承認ソースに数値がないため△。,https://chucon.net/;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3180301001387
3084,001Nn000013S10C,3200001030122,株式会社安藤林業,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。追加で当たった経路＝決算公告(官報)・EDINET・新聞記事・岐阜県森林管理協会の会員案内・自社HP会社概要を確認したが売上高の記載なし。法人番号3200001030122の登記所コード2000＝岐阜地方法務局で、同協会会員(岐阜県)と一致。埼玉県小川町の『安藤林業研究所』(ando-ringyou.com)とは別法人。林業事業者でE列『300億以上』は誤り。承認ソースに数値がないため△。,https://www.andoringyo.com/;https://www.gifusegyo.or.jp/member/2017/02/post-39.html;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3200001030122
3085,001Nn000013S10E,4010801034431,株式会社グラウンドナビゲーターズ,△,架電不可（△要再確認）,×,"△ 妥当：確認不可で正しい。当たった経路＝自社HP会社情報（売上高記載なし）／gBizINFO財務欄（空）／官報決算公告索引（掲載なし）／EDINET（非提出）。§6-2法人番号照合＝4010801034431の登記所コード0108＝東京法務局城南出張所で本社の東京都大田区山王2-3-13と一致、同名別法人の疑いなし。2023年10月18日設立（法人番号登録）の地歴・土壌汚染調査会社で第1〜2期しか経過しておらず、SF E列「1,000億円以上」は明らかな誤登録。禁止ソース（SalesNow）にしか記載がなく採用不可。",https://ground-navi.co.jp/outline ; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4010801034431 ; https://cnavi.g-search.or.jp/detail/4010801034431.html
3086,001Nn000013S10F,4011001041243,株式会社ベクトル総研,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。当たった経路＝自社HP会社概要・会社案内・事業概要（売上高の記載なし）／官報決算公告索引（掲載なし）／EDINET（非提出）／上場企業IRの誤突合チェック。重要＝東証上場の株式会社ベクトル（6058・PR会社）とは全くの別法人であり、同社の業績ハイライトを流用してはいけない。本行は人流・避難・交通シミュレーション、防災計画検討支援の技術コンサルで、承認ソースに売上高実額なし。法人番号4011001041243（登記所0110＝東京法務局管内出張所）。,https://vri.co.jp/company/ ; https://vri.co.jp/about/ ; http://vri.co.jp/enterprise/index.html ; https://vectorinc.co.jp/ir/highlight
3087,001Nn000013S10G,4070002030324,有限会社中村測量設計,×,架電不可（元×判定が妥当と確認）,×,"○ 妥当：既存の×（法人格NG）判定は正しい。法人番号4070002030324は種別コード「02」＝有限会社。特例有限会社が株式会社へ移行した場合は解散・設立登記により種別01の新番号が付番されるため、種別02のままであること自体が現在も有限会社であることを支持する。チェックデジットも検算一致。§3-6（2026/08/24 濱本さん回答で有限会社NG確定）により対象外。E列レンジ（5: 300億円以上~1,000億円未満）はSF登録値で§3-4により判定根拠にしない。",
3088,001Nn000013S10H,4080401017169,株式会社ケイシーシー経営研究所,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。当たった経路＝自社HP／gBizINFO決算欄／官報決算公告索引／電子公告。いずれも本法人の売上高記載なし。検索で該当するのは京セラコミュニケーションシステム（KCCS）、KCC株式会社（埼玉）、株式会社ケイ・シー・シー（木場）、株式会社ケーイーシー、協立情報通信（3670）等の別法人のみで、これらの数値を流用してはいけない。§6-2法人番号照合＝4080401017169の登記所コード0804＝静岡法務局管内の支局・出張所で、東京・大阪系のKCC各社とは別法人であることを検索なしで確定。,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4080401017169 ; https://kcc-japan.com/ ; https://catr.jp/companies/b6ec1/238702/settlements/98d17/333883
3089,001Nn000013S10I,4120001163838,株式会社阪神マテリアル,○,架電不可（保留）,×,"保留 検証不可：G列2,772億円（2025年9月期・単体）を承認ソースで再現できず。当たった経路＝①自社HP hmc-co.jp（ドメイン限定検索を2回。インデックスされるのは article.html と index.html のみで、掲載内容は所在地・工場沿革（2020関東/2021福島/2022静岡・岐阜）・事業内容（マテリアル/焼却灰適正処理/自動車リサイクル）であり売上高の記載を確認できず）②gBizINFO（法人番号4120001163838。財務値なし）③官報決算データベース検索④一般検索。売上高を載せているのはBaseconnect・compalyze等の禁止ソースのみで、そこでも『2023年度 売上高1,000億円以上（増加率50〜100%）』というレンジ表記にとどまり、2,772億円・2025年9月期という具体値・決算期とは一致しない（§6-6）。未上場のため有報・短信もなし。H列が出典とするhmc-co.jp/article.htmlに当該数値の記載があることを確認できないため、G列の数値・決算期とも裏取り未了。決算公告での再取得が必要。",https://hmc-co.jp/article.html; http://www.hmc-co.jp/index.html; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4120001163838
3090,001Nn000013S10L,4200001009355,エコ・アース・エンジニアリング株式会社,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。当たった経路＝gBizINFO（本店＝岐阜県岐阜市敷島町6丁目2番地5、代表取締役 田端大嗣、2008年4月18日設立を確認。財務欄は空）／自社HP（会社概要・アクセス。売上高記載なし）／官報決算公告索引の岐阜県一覧（本法人の掲載なし＝決算公告の開示実績を確認できない）／EDINET非提出。§6-2法人番号照合＝4200001009355の登記所コード2000＝岐阜地方法務局本局で本店所在地と一致、同名別法人（株式会社エコ・エンジニアリング等）との取り違えを否定。,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4200001009355 ; http://www.ee-eng.com/access.html ; https://catr.jp/pref/21
3091,001Nn000013S10N,4310001006515,大島エンジニアリング株式会社,△,架電不可（△要再確認）,×,"△ 妥当：確認不可で正しい。ただし未踏経路が残り回収余地あり。§6-2法人番号照合＝4310001006515の登記所コード3100＝長崎地方法務局本局。株式会社大島造船所の法人番号9310001006519と登記所が同一かつ連番が006515/006519と近接しており、長崎県西海市大島町の大島造船所グループ企業である可能性が高い。ただし親会社側の数値（大島造船所単体 第39期売上高2,165.38億円・官報決算公告）は§3-3により子会社判定には使えない。当たった経路＝官報決算公告索引（本法人の公告は不掲載）／自社系サイト（blog.canpan.info。財務記載なし）／EDINET非提出。大島造船所は非上場で有報がないため「関係会社の状況」経路も使えない。未踏＝大島造船所HPのグループ会社紹介、住友商事有報（同社は持分法適用関連会社のため孫会社の記載は期待薄）。",https://x.com/kessan_db/status/2083352330720965027 ; https://prtimes.jp/finance/9310001006519/settlement ; http://blog.canpan.info/oshima-eng ; https://catr.jp/companies/da6e5/29366/settlements/b5ef4/327834
3092,001Nn000013S10Q,5010001083245,株式会社エキスパートナー・ジャパン,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。当たった経路＝自社HP／gBizINFO／官報決算公告索引／電子公告ページ／EDINET。いずれも本法人の売上高記載なし。検索で該当するのはグロースエクスパートナーズ、パーソルビジネスエキスパート、NTT ExCパートナー、グローバルセキュリティエキスパート（4417）、エキサイト、株式会社e.パートナー等の別法人のみで流用不可。§6-2法人番号照合＝5010001083245の登記所コード0100＝東京法務局本局（千代田・中央・文京区等）。,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5010001083245 ; https://www.expartner-j.co.jp/ ; https://catr.jp/
3093,001Nn000013S10R,5010401089032,ＯＮＥ　ＤＲＯＰ　ＲＥＡＬＴＹ株式会社,△,架電不可（△要再確認）,×,△ 要再確認：回収不可。加えて法人格の存否に疑義あり。§6-2で重大な不一致を検出＝官報決算公告索引の「ONE DROP REALTY株式会社 第7期決算公告」は法人番号4010401130184（旧商号 パシフィック・レジデンシャル・サービス株式会社／東京都港区）に紐づいており、本行の法人番号5010401089032とは別法人。その第7期開示値も総資産31.22億円・当期純損失0.3785億円・繰越利益剰余金4.798億円で、そもそも売上高欄がなく300億規模ではない。さらに検索結果は2024年10月1日付でONE DROP REALTY株式会社が別法人番号の法人へ吸収合併・解散した旨に言及しており、本行5010401089032が閉鎖法人である可能性がある（§6-7）。検索枠切れで法人番号の閉鎖確認まで到達できず、要追検証。いずれにせよ架電不可。,https://catr.jp/companies/22aa8/255936/settlements/2070a/370027 ; https://prtimes.jp/finance/4010401130184/settlement ; https://onedroprealty.com/company.html ; https://onedrop-inv.com/group/
3094,001Nn000013S10S,5011001045243,株式会社スパイラル・アンド・カンパニー,△,架電不可（△要再確認）,×,△ 未検証（検索枠切れ）：本ブロックで検索枠を使い切ったため独自検証を実施できず、1次の△を暫定維持（架電不可のまま）。検索なしで実施した§6-2照合＝法人番号5011001045243の登記所コード0110＝東京法務局管内の出張所。種別コード01だが§3-6の法人格判定は社名で行い、「株式会社スパイラル・アンド・カンパニー」＝株式会社のため法人格は通る。1次が当たったのは自社HPとgBizINFOのみで、官報決算公告・電子公告・親会社IR・EDINETの各経路は未踏のまま。回収可否は未判定。,https://spiralll.com/ ; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5011001045243
3095,001Nn000013S10U,5011301000897,株式会社梅本水道工業所,△,架電不可（△要再確認）,×,△ 未検証（検索枠切れ）：本ブロックで検索枠を使い切ったため独自検証を実施できず、1次の△を暫定維持（架電不可のまま）。検索なしで実施した§6-2照合＝法人番号5011301000897の登記所コード0113＝東京法務局管内の支局（多摩地区）で、連番000897が極めて小さく古くから登記された地場法人であることを示す。社名「株式会社梅本水道工業所」で§3-6の法人格は通る。1次が当たったのは自社HPとgBizINFOのみで、官報決算公告・電子公告・元請ゼネコンのIR・EDINETの各経路は未踏。回収可否は未判定。,http://www.umemotosuidou.co.jp/index.html ; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5011301000897
3096,001Nn000013S6oG,4010101000456,株式会社魚力,○,架電可,○,"○ 妥当：東証上場（7596）の親会社。EDINET有報の提出会社（単体）売上高33,822,804千円＝338.23億円（2026年3月期）でG列と一致、桁検算OK。同期の連結売上高は436億円（前期比19.0%増、最上鮮魚のM&A効果）で単体・連結いずれも300億超。決算期も直近期で§3-8の鮮度問題なし。単体値を採用しており連結の誤用もない。採用値338億は450億未満のため薄マージンとして報告するが、連結436億が裏付けとなり判定は安定。",https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4010101000456; https://www.daiwair.co.jp/td_download.cgi?c=7596&i=3075970
3097,001Nn000013S6oJ,8010701022466,ＪＡ三井リース株式会社,○,架電可,○,"○ 妥当：単体売上高322,690百万円＝3,226.90億円（2026年3月期）。桁検算OK（32万2,690百万円）。同社はJA三井リースホールディングス株式会社傘下のため§3-3では子会社扱いとなるが、判定に用いているのは単体値であり、単体で基準300億の約10.8倍。連結値の当てはめではないため親子判定上の誤りなし。出典はEDINET有報（提出会社）で承認ソース。",https://info.gbiz.go.jp/hojin/ichiran?hojinBango=8010701022466
3098,001Nn000013S6oK,6010901028439,ＳＦＰホールディングス株式会社,×,未検証,×,未検証（検索枠切れ）：WebSearch枠が本ラン全体で枯渇（200/200）のため gBizINFO の「2026年7月28日 合併による解散等」を確認できず。法人格消滅は架電可否を左右する重い主張なので必ず再確認せよ。なお仮に存続していても、SFPホールディングスは外食大手の連結子会社とされる上場会社であり、その場合は§3-3で子会社は単体300億以上のみ可（連結値は使用不可）。①gBizINFOの登記変更、②親会社の有無、③単体売上高、の3点を再検証すること。,
3099,001Nn000013S6oL,2120005004536,近畿労働金庫,×,架電不可（元×判定が妥当と確認）,×,○ 妥当：既存の×（法人格NG）判定は正しい。法人番号2120005004536は会社法人等番号の種別コードが「05」（組合等登記令等に基づく登記＝株式会社では付番されない）で、商号の「労働金庫」と整合。チェックデジットも検算一致。§3-6により売上高の多寡を問わず対象外。G列「対象外（労働金庫）」も表記どおりで妥当。,
3100,001Nn000013S6oO,5010001163212,大江戸温泉物語株式会社,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。むしろ300億未満の疑いが濃厚。§6-2照合＝本行の法人番号5010001163212は「大江戸温泉物語株式会社」（東京都中央区銀座7-16-21、旧商号 株式会社BCJ-18→株式会社スプリングホールディングス、登記所0100＝東京法務局本局で所在地と一致）であり、ブランドの事業運営主体GENSEN HOLDINGS株式会社（旧・大江戸温泉物語ホテルズ＆リゾーツ／2025年9月1日に湯快リゾートと合併）とは別法人。官報決算公告索引によれば本行法人の第11期売上高は26.01億円（前期比△7.14%）・純損失4.49億円・総資産282.58億円で300億に遠く及ばない。一方の大江戸温泉物語ホテルズ＆リゾーツ第7期は売上高368.82億円だが別法人番号のため§3-3により流用不可。出典が官報の二次サイト（§7-1未決着）のため×確定はできないが、本行法人での300億到達は承認ソースで確認できず△が妥当。,https://x.com/kessan_db/status/1947340755808489770 ; https://catr.jp/companies/dff44/18254/settlements/0dfe4/360776 ; https://catr.jp/companies/a9f4b/16642/settlements/09155/322143 ; https://corporate.ooedoonsen.jp/about/ ; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5010001163212
3101,001Nn000013S6oP,4340001004160,株式会社Ｍｉｓｕｍｉ,○,架電可,○,"○ 妥当：EDINET有報の提出会社（単体）売上高57,764百万円＝577.64億円（2026年3月期）。桁検算OK。§6-2の同名照合：法人番号4340001004160は熊本市の食品スーパー『株式会社Misumi』（東証スタンダード7441）であり、精密機器の株式会社ミスミグループ本社（東京・法人番号別）とは別法人。リスト社名・法人番号・出典が一致している。上場親会社のため単体・連結いずれでも基準充足。",https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4340001004160
3102,001Nn000013S6oQ,5100001011907,株式会社モリキ,○,架電可,○,"○ 妥当（要注記）：自社HP会社概要（moriki-group.info/corporate-info/）に売上高366億円の記載を確認。会社概要欄に資本金2,500万円と並記された自社データであり、グループ合算値との注記はないため単体値として読める。親子判定：モリキは2003年に株式会社富士薬品と資本業務提携し現在も富士薬品グループ会社一覧に掲載される子会社であるため§3-3により単体300億以上でのみ可 → 366億で充足（グループ連結値の流用ではない）。法人格の存否（§6-7）：2019年3月に子会社の株式会社東北セイムスを吸収合併した存続会社として現存、商号変更なし。弱点＝自社HPに売上高の決算期が明記されていない（同ページの従業員数は2025年3月末、店舗数は2025年6月末基準）。G列の『自社HP現行値』表記はこの理由による。採用値366億は450億未満の薄マージンのため、決算期の明示された値での再取得が望ましい。",https://www.moriki-group.info/corporate-info/; https://www.fujiyakuhin.co.jp/company/group/moriki-group.html; https://www.fujiyakuhin.co.jp/news/4953
3103,001Nn000013S6oS,9040001044645,成田国際空港株式会社,△,架電可（回収）,○,"○ 回収：2026年3月期・連結の営業収益2,794億円（前期比6%増、民営化以降の最高値を更新。内訳＝空港運営事業1,163億円、リテール事業1,268億円）。営業収益は空港会社の本業トップライン（売上高相当）であり、RULES§3-7が排除する「利益」指標ではない。NAAはグループ会社を擁する親会社であり§3-3により連結値の採用可、かつ単体でも数千億規模で300億基準は決定的にクリア。出典＝日本経済新聞2026年5月の決算記事（決算期・売上高を明記＝§3-4④の承認ソース）＋NAA自社IRサイト（§3-4①）。§6-2照合＝法人番号9040001044645の登記所コード0400は千葉地方法務局で成田市本社と整合、同名別法人の疑いなし。社名「株式会社」で§3-6通過。1次が「営業収益表記のみのため不採用」としたのは過剰な却下であり、架電可に回収する。",https://www.nikkei.com/article/DGXZQOCC27CGA0X20C26A5000000/;https://www.naa.jp/jp/ir/index.html;https://www.aviationwire.jp/archives/344439
3104,001Nn000013S6oU,4011001034569,株式会社バイク王＆カンパニー,○,架電可（G列訂正あり）,○,"○ 妥当（G列訂正：385.74億円（2025年11月期・連結））：東証スタンダード上場3377の親会社で自ら連結決算を開示しているため連結判定可。2025年11月期の連結売上高385億7,400万円（前期比13.6%増）、営業利益5億8,500万円（同104.5%増）、経常利益8億2,900万円（同42.0%増）。G列の『2025年度・単体』は決算期表記と単体/連結の別が誤りで、正しくは2025年11月期・連結385.74億円。金額水準は300億超のため架電可否は○のまま。出典は自社IR業績ハイライト。採用値385億は450億未満の薄マージン。",https://www.8190.co.jp/ir/finance/performance.html; https://www.8190.co.jp/outline/profile.html; https://autobi-r.net/news/2025%E5%B9%B411%E6%9C%88%E6%9C%9F%E3%81%AE%E9%80%A3%E7%B5%90%E6%B1%BA%E7%AE%97%E3%80%81%E5%A2%97%E5%8F%8E%E3%83%BB%E5%A2%97%E7%9B%8A%E3%80%80%E3%80%80%E3%83%90%E3%82%A4%E3%82%AF%E7%8E%8B%EF%BC%86/
3105,001Nn000013S6oZ,6220001009293,株式会社トランテックス,○,架電可（G列訂正あり）,○,"○ 妥当（G列訂正：406億円（2025年度・単体）。1次の『410億円（2024年度）』は1期前の旧版）：反証検索で、出典である自社採用サイト『データで見るトランテックス』の現行表示が2025年度売上高406億円・従業員1,431名（2026年6月時点）に更新済みであることを確認。1次が採用した410億円は従業員1,396名（2025年6月時点）版のスナップショットで、H列記載のURLを今開いても再現しない（監査時に数値不一致となる）。よって数値と決算期をG列で訂正する。ソース自体は§5-3⑨『自社ドメイン内の採用ページ』に該当し承認ソースのまま。親子判定：日野自動車の100%出資連結子会社のため§3-3により単体で300億以上が必要だが、406億は同社単体値であり日野の連結値を流用したものではない。410→406の下方修正後も基準300億を35%上回るため判定は不動、○を維持。",https://recruit.trantechs.co.jp/data/; https://trantechs.co.jp/company/overview/
